bin,low,high,numu_flux,numubar_flux,nue_flux,nuebar_flux
233,11.65,11.700000000000001,41409.92987060547,1966.509765625,1116.933494567871,955.9336166381836
234,11.700000000000001,11.75,38854.81930541992,998.3435668945312,1007.5581893920898,478.32269287109375
235,11.75,11.8,41097.259033203125,1003.4763793945312,669.693941116333,439.6857671737671
236,11.8,11.850000000000001,35393.63562011719,3035.8673706054688,235.3888702392578,0.0
237,11.850000000000001,11.9,41807.515869140625,4080.633056640625,462.7805938720703,0.0
238,11.9,11.950000000000001,43214.693359375,7199.888916015625,361.7743225097656,104.83096313476562
239,11.950000000000001,12.0,53013.429443359375,4151.7374267578125,336.35037994384766,32.710458755493164
240,12.0,12.05,39848.35983276367,2092.43896484375,0.0,0.0
241,12.05,12.100000000000001,37954.75830078125,0.0,790.7143325805664,469.37091064453125
242,12.100000000000001,12.15,28677.336791992188,2121.0015869140625,123.62456512451172,0.0
243,12.15,12.200000000000001,28955.687255859375,6434.3824462890625,0.0,33.89350700378418
244,12.200000000000001,12.25,35665.810791015625,2165.222412109375,164.2937469482422,17.175334930419922
245,12.25,12.3,39234.09228515625,3270.348876953125,279.5472106933594,0.0
246,12.3,12.350000000000001,34053.219970703125,2197.2650146484375,356.2224349975586,0.0
247,12.350000000000001,12.4,27690.24658203125,5533.9425048828125,120.51668548583984,0.0
248,12.4,12.450000000000001,18963.729858398438,1119.07763671875,159.1421298980713,0.0
249,12.450000000000001,12.5,20250.261840820312,3374.89990234375,200.8401107788086,0.0
250,12.5,12.55,32923.700927734375,2269.0450439453125,190.25418090820312,239.8234806060791
251,12.55,12.600000000000001,28597.854614257812,1146.503173828125,245.47399139404297,0.0
252,12.600000000000001,12.65,26632.757026672363,2305.1883544921875,106.39727020263672,0.0
253,12.65,12.700000000000001,30224.522705078125,2327.0706787109375,18.464073181152344,0.0
254,12.700000000000001,12.75,21064.962890625,4686.3297119140625,750.6090393066406,524.3727416992188
255,12.75,12.8,23708.052337646484,2361.3619384765625,186.70879554748535,153.8849639892578
256,12.8,12.850000000000001,27493.787719726562,2374.3563232421875,313.55944061279297,0.0
257,12.850000000000001,12.9,28778.81298828125,1200.0213623046875,0.0,19.02798080444336
258,12.9,12.950000000000001,22951.9248046875,1209.6373291015625,0.0,0.0
259,12.950000000000001,13.0,15827.793701171875,2432.3934326171875,341.20984840393066,38.68173408508301
260,13.0,13.05,15964.288208007812,1230.753662109375,0.0,0.0
261,13.05,13.100000000000001,14842.966674804688,2467.099853515625,19.555500030517578,0.0
262,13.100000000000001,13.15,19939.487060546875,1241.490478515625,160.32723808288574,0.0
263,13.15,13.200000000000001,35143.81628417969,3763.763427734375,140.11012268066406,19.889904022216797
264,13.200000000000001,13.25,13906.982788085938,3796.871337890625,0.0,0.0
265,13.25,13.3,12755.916748046875,1273.3277587890625,111.65856170654297,0.0
266,13.3,13.350000000000001,11555.819580078125,1280.159423828125,40.57367134094238,0.0
267,13.350000000000001,13.4,16839.237060546875,1296.0859375,144.2438507080078,0.0
268,13.4,13.450000000000001,19550.434326171875,3904.890869140625,181.89419555664062,20.659202575683594
269,13.450000000000001,13.5,17072.952514648438,2623.448486328125,0.0,0.0
270,13.5,13.55,19951.22469329834,2640.062255859375,152.1579132080078,0.0
271,13.55,13.600000000000001,14665.83544921875,0.0,0.0,0.0
272,13.600000000000001,13.65,18804.209228515625,1339.514892578125,140.40846252441406,0.0
273,13.65,13.700000000000001,24355.921997070312,2702.579345703125,21.36579132080078,0.0
274,13.700000000000001,13.75,17698.390258789062,0.0,118.83116912841797,0.0
275,13.75,13.8,20571.884521484375,2743.4249267578125,0.0,0.0
276,13.8,13.850000000000001,9688.338500976562,2768.209716796875,181.94107055664062,0.0
277,13.850000000000001,13.9,11122.367431640625,5579.921875,547.0687866210938,547.0687866210938
278,13.9,13.950000000000001,16814.516967773438,0.0,0.0,0.0
279,13.950000000000001,14.0,12708.866821289062,0.0,0.0,0.0
280,14.0,14.05,11376.929443359375,1421.6114501953125,679.3609008789062,679.3609008789062
281,14.05,14.100000000000001,11465.136474609375,1435.14697265625,0.0,0.0
282,14.100000000000001,14.15,15894.584594726562,0.0,0.0,0.0
283,14.15,14.200000000000001,11631.8857421875,4364.1180419921875,0.0,0.0
284,14.200000000000001,14.25,13168.36474609375,0.0,0.0,0.0
285,14.25,14.3,8836.137329101562,0.0,23.381736755371094,0.0
286,14.3,14.350000000000001,8903.259033203125,1484.17431640625,0.0,0.0
287,14.350000000000001,14.4,14940.3623046875,0.0,0.0,0.0
288,14.4,14.450000000000001,7515.3701171875,0.0,139.730224609375,0.0
289,14.450000000000001,14.5,13625.691162109375,0.0,134.1674346923828,24.004209518432617
290,14.5,14.55,12221.994384765625,1524.2108154296875,0.0,0.0
291,14.55,14.600000000000001,6143.789794921875,0.0,0.0,0.0
292,14.600000000000001,14.65,7743.7353515625,0.0,0.0,0.0
293,14.65,14.700000000000001,9339.367797851562,1552.851318359375,0.0,0.0
294,14.700000000000001,14.75,7830.9742431640625,0.0,0.0,0.0
295,14.75,14.8,4745.0457763671875,0.0,25.022140502929688,0.0
296,14.8,14.850000000000001,4768.5032958984375,0.0,0.0,0.0
297,14.850000000000001,14.9,12815.118774414062,0.0,0.0,0.0
298,14.9,14.950000000000001,3220.4974365234375,1607.037353515625,0.0,0.0
299,14.950000000000001,15.0,4865.4720458984375,0.0,0.0,0.0
300,15.0,15.05,9797.814575195312,3267.389404296875,136.73133850097656,0.0
301,15.05,15.100000000000001,9846.592041015625,0.0,0.0,0.0
302,15.100000000000001,15.15,8265.340698242188,0.0,161.23151779174805,0.0
303,15.15,15.200000000000001,0.0,1666.1259765625,0.0,0.0
304,15.200000000000001,15.25,13420.38720703125,0.0,0.0,0.0
305,15.25,15.3,8455.28564453125,0.0,0.0,0.0
306,15.3,15.350000000000001,5092.2904052734375,0.0,0.0,0.0
307,15.350000000000001,15.4,3417.98583984375,1709.5185546875,0.0,0.0
308,15.4,15.450000000000001,3433.7305908203125,0.0,891.3314208984375,891.3314208984375
309,15.450000000000001,15.5,5199.3880615234375,0.0,0.0,0.0
310,15.5,15.55,8723.15380859375,0.0,0.0,0.0
311,15.55,15.600000000000001,12290.03271484375,1749.506591796875,142.751708984375,0.0
312,15.600000000000001,15.65,3525.5277099609375,1770.356201171875,0.0,0.0
313,15.65,15.700000000000001,5321.9718017578125,0.0,0.0,0.0
