    W        Theta    pip-p
 1340.0000  170.0000  0.4093E+00
 1340.0000  179.9000  0.4072E+00
 1350.0000    0.1000  0.1600E+01
 1350.0000   10.0000  0.1567E+01
 1350.0000   20.0000  0.1475E+01
 1350.0000   30.0000  0.1344E+01
 1350.0000   40.0000  0.1197E+01
 1350.0000   50.0000  0.1049E+01
 1350.0000   60.0000  0.9118E+00
 1350.0000   70.0000  0.7870E+00
 1350.0000   80.0000  0.6771E+00
 1350.0000   90.0000  0.5853E+00
 1350.0000  100.0000  0.5153E+00
 1350.0000  110.0000  0.4685E+00
 1350.0000  120.0000  0.4423E+00
 1350.0000  130.0000  0.4308E+00
 1350.0000  140.0000  0.4268E+00
 1350.0000  150.0000  0.4243E+00
 1350.0000  160.0000  0.4203E+00
 1350.0000  170.0000  0.4159E+00
 1350.0000  179.9000  0.4139E+00
 1360.0000    0.1000  0.1592E+01
 1360.0000   10.0000  0.1560E+01
 1360.0000   20.0000  0.1472E+01
 1360.0000   30.0000  0.1346E+01
 1360.0000   40.0000  0.1203E+01
 1360.0000   50.0000  0.1059E+01
 1360.0000   60.0000  0.9217E+00
 1360.0000   70.0000  0.7951E+00
 1360.0000   80.0000  0.6819E+00
 1360.0000   90.0000  0.5866E+00
 1360.0000  100.0000  0.5143E+00
 1360.0000  110.0000  0.4668E+00
 1360.0000  120.0000  0.4414E+00
 1360.0000  130.0000  0.4316E+00
 1360.0000  140.0000  0.4296E+00
 1360.0000  150.0000  0.4286E+00
 1360.0000  160.0000  0.4257E+00
 1360.0000  170.0000  0.4216E+00
 1360.0000  179.9000  0.4197E+00
 1370.0000    0.1000  0.1577E+01
 1370.0000   10.0000  0.1547E+01
 1370.0000   20.0000  0.1463E+01
 1370.0000   30.0000  0.1343E+01
 1370.0000   40.0000  0.1206E+01
 1370.0000   50.0000  0.1065E+01
 1370.0000   60.0000  0.9292E+00
 1370.0000   70.0000  0.8010E+00
 1370.0000   80.0000  0.6846E+00
 1370.0000   90.0000  0.5860E+00
 1370.0000  100.0000  0.5114E+00
 1370.0000  110.0000  0.4633E+00
 1370.0000  120.0000  0.4390E+00
 1370.0000  130.0000  0.4311E+00
 1370.0000  140.0000  0.4312E+00
 1370.0000  150.0000  0.4320E+00
 1370.0000  160.0000  0.4300E+00
 1370.0000  170.0000  0.4263E+00
 1370.0000  179.9000  0.4244E+00
 1380.0000    0.1000  0.1556E+01
 1380.0000   10.0000  0.1528E+01
 1380.0000   20.0000  0.1450E+01
 1380.0000   30.0000  0.1337E+01
 1380.0000   40.0000  0.1206E+01
 1380.0000   50.0000  0.1069E+01
 1380.0000   60.0000  0.9343E+00
 1380.0000   70.0000  0.8047E+00
 1380.0000   80.0000  0.6852E+00
 1380.0000   90.0000  0.5833E+00
 1380.0000  100.0000  0.5066E+00
 1380.0000  110.0000  0.4582E+00
 1380.0000  120.0000  0.4351E+00
 1380.0000  130.0000  0.4293E+00
 1380.0000  140.0000  0.4316E+00
 1380.0000  150.0000  0.4341E+00
 1380.0000  160.0000  0.4331E+00
 1380.0000  170.0000  0.4298E+00
 1380.0000  179.9000  0.4279E+00
 1390.0000    0.1000  0.1529E+01
 1390.0000   10.0000  0.1503E+01
 1390.0000   20.0000  0.1431E+01
 1390.0000   30.0000  0.1326E+01
 1390.0000   40.0000  0.1201E+01
 1390.0000   50.0000  0.1070E+01
 1390.0000   60.0000  0.9367E+00
 1390.0000   70.0000  0.8061E+00
 1390.0000   80.0000  0.6836E+00
 1390.0000   90.0000  0.5784E+00
 1390.0000  100.0000  0.4997E+00
 1390.0000  110.0000  0.4512E+00
 1390.0000  120.0000  0.4296E+00
 1390.0000  130.0000  0.4261E+00
 1390.0000  140.0000  0.4307E+00
 1390.0000  150.0000  0.4350E+00
 1390.0000  160.0000  0.4349E+00
 1390.0000  170.0000  0.4318E+00
 1390.0000  179.9000  0.4300E+00
 1400.0000    0.1000  0.1497E+01
 1400.0000   10.0000  0.1473E+01
 1400.0000   20.0000  0.1408E+01
 1400.0000   30.0000  0.1310E+01
 1400.0000   40.0000  0.1194E+01
 1400.0000   50.0000  0.1067E+01
 1400.0000   60.0000  0.9366E+00
 1400.0000   70.0000  0.8051E+00
 1400.0000   80.0000  0.6798E+00
 1400.0000   90.0000  0.5715E+00
 1400.0000  100.0000  0.4909E+00
 1400.0000  110.0000  0.4425E+00
 1400.0000  120.0000  0.4226E+00
 1400.0000  130.0000  0.4215E+00
 1400.0000  140.0000  0.4285E+00
 1400.0000  150.0000  0.4345E+00
 1400.0000  160.0000  0.4352E+00
 1400.0000  170.0000  0.4323E+00
 1400.0000  179.9000  0.4305E+00
 1410.0000    0.1000  0.1459E+01
 1410.0000   10.0000  0.1438E+01
 1410.0000   20.0000  0.1380E+01
 1410.0000   30.0000  0.1291E+01
 1410.0000   40.0000  0.1183E+01
 1410.0000   50.0000  0.1062E+01
 1410.0000   60.0000  0.9339E+00
 1410.0000   70.0000  0.8018E+00
 1410.0000   80.0000  0.6737E+00
 1410.0000   90.0000  0.5624E+00
 1410.0000  100.0000  0.4802E+00
 1410.0000  110.0000  0.4321E+00
 1410.0000  120.0000  0.4141E+00
 1410.0000  130.0000  0.4157E+00
 1410.0000  140.0000  0.4250E+00
 1410.0000  150.0000  0.4326E+00
 1410.0000  160.0000  0.4340E+00
 1410.0000  170.0000  0.4311E+00
 1410.0000  179.9000  0.4292E+00
 1420.0000    0.1000  0.1416E+01
 1420.0000   10.0000  0.1399E+01
 1420.0000   20.0000  0.1347E+01
 1420.0000   30.0000  0.1268E+01
 1420.0000   40.0000  0.1168E+01
 1420.0000   50.0000  0.1054E+01
 1420.0000   60.0000  0.9287E+00
 1420.0000   70.0000  0.7961E+00
 1420.0000   80.0000  0.6655E+00
 1420.0000   90.0000  0.5513E+00
 1420.0000  100.0000  0.4676E+00
 1420.0000  110.0000  0.4202E+00
 1420.0000  120.0000  0.4043E+00
 1420.0000  130.0000  0.4086E+00
