    W        Theta    pi0-p       pip-n
 1230.0000  150.0000  0.3509E-01  0.3722E+00
 1230.0000  160.0000  0.2671E-01  0.4026E+00
 1230.0000  170.0000  0.2089E-01  0.4234E+00
 1230.0000  179.9000  0.1879E-01  0.4308E+00
 1240.0000    0.1000  0.3604E+00  0.6196E+00
 1240.0000   10.0000  0.3526E+00  0.6058E+00
 1240.0000   20.0000  0.3312E+00  0.5671E+00
 1240.0000   30.0000  0.3014E+00  0.5112E+00
 1240.0000   40.0000  0.2685E+00  0.4478E+00
 1240.0000   50.0000  0.2366E+00  0.3860E+00
 1240.0000   60.0000  0.2072E+00  0.3325E+00
 1240.0000   70.0000  0.1801E+00  0.2908E+00
 1240.0000   80.0000  0.1549E+00  0.2621E+00
 1240.0000   90.0000  0.1313E+00  0.2463E+00
 1240.0000  100.0000  0.1096E+00  0.2427E+00
 1240.0000  110.0000  0.9066E-01  0.2505E+00
 1240.0000  120.0000  0.7470E-01  0.2687E+00
 1240.0000  130.0000  0.6135E-01  0.2958E+00
 1240.0000  140.0000  0.4980E-01  0.3288E+00
 1240.0000  150.0000  0.3951E-01  0.3633E+00
 1240.0000  160.0000  0.3076E-01  0.3937E+00
 1240.0000  170.0000  0.2464E-01  0.4146E+00
 1240.0000  179.9000  0.2242E-01  0.4221E+00
 1250.0000    0.1000  0.3561E+00  0.6842E+00
 1250.0000   10.0000  0.3488E+00  0.6680E+00
 1250.0000   20.0000  0.3288E+00  0.6228E+00
 1250.0000   30.0000  0.3011E+00  0.5576E+00
 1250.0000   40.0000  0.2708E+00  0.4841E+00
 1250.0000   50.0000  0.2414E+00  0.4127E+00
 1250.0000   60.0000  0.2141E+00  0.3511E+00
 1250.0000   70.0000  0.1884E+00  0.3029E+00
 1250.0000   80.0000  0.1635E+00  0.2692E+00
 1250.0000   90.0000  0.1394E+00  0.2495E+00
 1250.0000  100.0000  0.1169E+00  0.2425E+00
 1250.0000  110.0000  0.9690E-01  0.2475E+00
 1250.0000  120.0000  0.8015E-01  0.2635E+00
 1250.0000  130.0000  0.6630E-01  0.2887E+00
 1250.0000  140.0000  0.5446E-01  0.3204E+00
 1250.0000  150.0000  0.4394E-01  0.3541E+00
 1250.0000  160.0000  0.3494E-01  0.3842E+00
 1250.0000  170.0000  0.2860E-01  0.4051E+00
 1250.0000  179.9000  0.2629E-01  0.4126E+00
 1260.0000    0.1000  0.3477E+00  0.7566E+00
 1260.0000   10.0000  0.3411E+00  0.7377E+00
 1260.0000   20.0000  0.3230E+00  0.6852E+00
 1260.0000   30.0000  0.2981E+00  0.6098E+00
 1260.0000   40.0000  0.2710E+00  0.5250E+00
 1260.0000   50.0000  0.2447E+00  0.4432E+00
 1260.0000   60.0000  0.2199E+00  0.3727E+00
 1260.0000   70.0000  0.1958E+00  0.3176E+00
 1260.0000   80.0000  0.1715E+00  0.2786E+00
 1260.0000   90.0000  0.1470E+00  0.2547E+00
 1260.0000  100.0000  0.1235E+00  0.2443E+00
 1260.0000  110.0000  0.1026E+00  0.2462E+00
